Case #1: 125
30 12 58280
35 17 182738
30 29 115185
22 13 94270
31 18 209046
9 8 184558
18 11 229047
9 43 141477
15 2 84140
28 27 156311
37 39 107116
44 35 138327
37 38 211374
21 34 189094
30 19 121797
1 44 150229
22 39 69060
37 3 172187
45 9 169249
37 2 162534
4 2 184272
2 42 154702
10 23 177746
45 36 183587
43 13 182315
18 44 155252
13 42 7413
38 41 175092
16 6 170677
12 35 136317
9 36 157390
14 9 165244
19 46 127116
17 26 100806
34 37 166103
1 20 77978
14 5 161633
44 34 161548
10 3 176383
25 2 215980
27 45 188904
26 20 83202
32 22 152582
27 1 251619
30 11 21969
36 29 157246
15 14 128364
15 35 183426
42 10 92555
13 1 117476
38 5 105859
9 20 189524
24 17 179135
42 35 127690
4 29 175564
13 17 188801
4 6 130830
9 37 157988
38 1 70888
34 11 103565
29 39 144954
18 40 136522
16 42 181959
34 42 114105
37 23 30830
32 46 123682
18 35 86801
8 31 193311
35 8 154175
41 36 133330
36 5 195483
28 38 171783
3 13 195079
12 19 100048
34 5 204361
28 15 116843
3 40 73368
1 11 77948
25 41 13560
42 4 142112
22 1 188270
1 42 110063
32 30 16072
1 24 130326
25 46 67104
12 36 143385
26 11 146685
6 29 204118
29 14 130541
36 33 271044
41 29 125933
38 24 187679
4 37 78711
7 19 163207
40 16 170821
7 16 156029
39 25 129031
10 9 157621
20 5 96629
3 36 171589
1 28 100895
11 46 129579
18 45 242289
9 12 144217
9 13 160257
10 11 196257
9 33 237903
12 39 88049
21 17 201429
7 22 141389
40 32 122917
5 44 168329
32 41 64297
20 37 103765
32 1 72051
44 23 114623
29 26 161820
18 42 201039
41 24 149424
22 4 96661
16 17 195681
14 23 146767
20 22 195852
8 26 215670
4 21 101196
21 45 91826
33 11 234609
3 28 198030
25 30 61785
12 18 177586
32 20 127863
19 37 187027
41 45 173985
46 26 95272
13 27 163206
12 20 135523
5 26 179831
40 34 136818
42 7 86612
39 5 156515
23 15 153682
26 6 137865
29 32 116115
9 7 81058
33 39 267554
22 11 118101
35 39 104661
32 43 142142
31 32 93206
29 38 188455
21 46 164654
25 32 77857
4 12 118659
21 6 156444
4 41 126123
39 18 191462
27 32 211765
43 15 206834
46 29 66548
46 10 183359
22 26 180640
8 13 73937
7 21 217378
34 3 178724
28 43 165050
17 29 225346
44 9 45016
34 30 81596
1 8 109789
10 12 116008
1 41 104204
40 7 111976
20 40 4946
37 24 102012
5 45 207342
15 32 121461
41 7 169664
17 1 181282
42 43 189728
22 15 125339
27 39 137996
41 12 106505
14 21 87580
19 32 137869
33 28 285869
33 34 139968
45 11 147729
13 10 99968
11 13 96289
1 9 152270
18 34 204584
32 18 238479
44 41 169327
14 10 152891
33 29 220621
21 33 274933
33 26 320161
2 45 198729
22 9 184881
33 30 212640
9 38 144347
6 20 147925
24 11 164550
18 38 140806
16 41 165970
32 17 109231
16 30 202851
15 13 63149
44 21 144400
46 17 192958
34 6 148954
13 6 169205
29 1 143515
19 27 160946
20 35 148483
27 12 147166
31 24 90581
27 44 187798
4 33 229773
20 34 131872
37 21 124306
41 27 147839
7 25 183224
40 28 173557
22 36 139319
15 34 184667
6 40 142979
24 14 143300
28 30 128014
40 38 119344
15 7 16050
6 19 86970
2 24 160971
45 29 77479
14 41 117178
19 1 144314
32 5 203532
29 5 151107
33 1 268619
6 45 126639
34 45 158132
15 39 135158
2 22 209479
6 24 153292
4 24 23301
16 10 109248
5 27 249069
4 16 39847
16 46 153805
4 3 106982
19 40 144132
15 38 186278
3 44 150186
32 34 97668
7 20 116922
29 9 181259
36 14 154058
40 31 141280
16 12 158506
41 22 165582
35 30 158066
12 6 185245
24 13 111398
16 25 179530
43 23 80400
8 16 216403
15 8 105006
42 39 111502
12 38 156594
46 6 159995
3 19 156581
5 30 192169
45 20 156097
7 27 210325
41 39 115471
35 3 120312
35 31 193356
40 25 84120
38 10 94977
42 26 194301
1 16 146872
21 8 210343
31 39 196877
26 3 161516
45 15 114589
4 27 144594
8 33 312865
8 25 177962
19 45 135448
44 6 87626
25 4 139683
36 8 192585
25 12 120065
41 9 144516
39 1 119210
30 21 156533
24 25 162984
22 5 180133
4 20 126028
29 34 80653
19 35 36269
35 1 180583
2 7 68090
10 41 195524
20 23 133399
19 15 147157
16 28 172546
19 39 109961
17 34 177299
37 45 182989
29 28 126639
32 23 61742
34 1 137575
43 36 50168
13 40 124429
17 2 96242
24 39 142420
44 13 177903
10 4 69401
35 32 173530
11 27 187037
25 34 97878
1 45 154090
23 33 279841
41 13 122545
34 14 150549
23 2 131704
25 13 136105
12 15 47109
40 35 153429
40 36 98221
6 22 178980
20 25 79174
8 20 187767
13 45 51440
16 9 128067
39 2 219298
18 23 178041
23 31 154948
13 38 162416
26 43 35155
7 39 151208
36 39 106518
18 41 178891
35 9 93311
13 5 172131
30 45 125760
14 43 161120
20 30 111791
3 14 143318
36 13 132147
37 14 153460
19 10 183976
9 17 174647
27 33 254065
13 14 104502
3 27 225977
46 41 59385
15 3 192612
13 32 90392
27 23 238487
22 17 217040
22 34 168403
31 42 118567
46 40 17016
7 28 132893
6 18 115650
31 1 133113
10 39 204057
38 6 101737
43 27 219196
28 31 180671
7 4 116182
2 30 189529
34 28 185133
19 38 188707
32 38 142939
4 45 117929
22 21 197857
21 28 111197
31 14 146087
22 19 92010
35 7 174369
32 4 168439
30 1 55979
39 21 129512
1 4 107025
19 9 129580
4 26 104510
21 40 157530
12 7 63159
46 44 156578
16 31 132207
5 42 179544
16 36 117960
10 44 112605
35 25 96281
3 25 157488
29 19 124873
46 13 107413
43 33 304375
10 40 200375
21 12 159306
38 2 187143
15 25 167174
19 31 157087
28 36 124833
10 28 185742
31 13 125980
38 14 57914
9 32 80219
28 4 184036
26 31 208265
10 1 165865
36 21 123708
29 11 94110
27 17 285976
14 20 65004
24 45 141230
30 18 227116
19 25 60012
2 8 171590
22 23 169551
33 31 135506
42 40 117016
10 8 173905
20 3 78314
35 34 194159
36 1 141084
22 46 183782
19 41 73572
8 6 200434
39 40 159764
5 12 188171
38 42 155003
16 44 83051
45 32 141832
28 18 209777
33 16 267713
18 36 165911
17 12 172761
4 9 88220
16 43 114449
10 33 299174
46 8 181350
18 21 213287
25 6 146982
30 15 105389
41 6 160542
12 29 56905
40 23 128453
31 22 163941
35 14 193557
2 40 165892
12 42 23453
46 9 201594
9 24 111521
1 5 174607
44 19 164186
20 42 112070
29 31 85115
41 42 129958
19 20 139186
10 32 190360
36 27 208255
17 6 132037
30 46 107610
46 45 144027
37 25 146292
26 44 61306
13 4 134699
9 18 158260
35 4 181531
23 19 156197
42 33 231515
43 37 50766
30 3 180213
38 20 122918
29 15 104014
5 25 148135
2 1 225478
41 11 70194
30 27 195693
8 41 164402
8 5 204556
4 15 132232
41 43 183498
13 16 174546
39 34 201339
4 11 141249
39 32 103671
41 26 154657
15 46 145042
26 14 127927
38 43 219034
26 24 127811
16 11 181096
41 37 132732
31 25 97075
28 8 125649
38 23 186285
36 42 139560
7 3 176562
6 23 84548
42 17 196214
28 37 125431
17 4 155834
20 2 160946
14 1 12974
27 31 118559
19 24 165370
12 43 193261
30 41 48225
3 6 69611
24 16 63148
42 8 81350
46 14 77074
18 15 130477
46 1 90048
29 22 117234
29 16 208398
41 40 76401
10 24 92702
13 29 40865
33 3 264904
40 26 88148
28 46 156541
5 17 177526
17 19 203686
20 21 152584
5 10 200836
16 18 238303
40 37 98819
38 4 164378
25 26 162376
21 42 135853
15 9 97108
26 10 173911
19 14 157288
46 27 207224
8 18 217927
6 42 170666
1 12 114259
35 22 128279
11 8 138146
45 38 143505
7 37 168462
14 7 144414
20 31 136334
10 45 48528
1 26 114953
24 29 152263
16 14 148929
15 40 128026
10 35 220245
27 25 161399
46 23 145469
36 20 103167
38 44 189363
27 9 232814
22 24 73360
40 24 144413
3 39 216345
43 24 97903
46 3 90384
25 21 218318
15 10 159542
33 2 298215
7 46 128992
24 20 139467
5 16 238364
9 26 106322
20 33 271840
28 24 160735
13 30 74320
30 24 153638
16 32 208286
6 35 50701
23 3 154159
8 27 205063
3 42 190384
16 38 204225
28 42 93187
27 34 114097
44 2 194164
32 12 74352
23 34 159410
19 16 228518
17 40 175942
16 27 184441
4 36 78113
34 43 192946
46 4 113958
27 10 213995
Case #89: 1000
33 19 26453
13 35 82692
32 5 93697
23 7 156888
43 27 90822
34 16 134472
20 44 107186
24 5 66477
43 15 59862
13 47 106981
40 46 51072
29 26 85486
13 6 82308
48 2 26520
6 21 49105
8 22 76123
26 11 65632
47 24 91299
41 25 89678
28 43 79450
29 20 91661
12 3 31562
27 18 56901
10 8 45251
1 27 168966
41 34 60154
23 41 119713
22 14 53010
48 8 97269
8 7 80119
7 6 71774
18 13 64264
20 19 69342
45 33 68316
39 2 96713
48 6 111509
9 6 97073
10 17 55046
47 5 56241
36 10 52766
27 28 84254
27 33 87497
33 16 84341
5 20 97176
22 15 71374
23 39 129753
39 14 137309
43 25 26931
43 2 37009
6 25 21049
2 37 79802
20 24 102768
24 33 64780
30 43 74643
33 35 59953
21 23 91974
28 9 80291
21 3 40133
3 36 62293
21 24 41383
39 6 72105
20 36 66348
37 5 63432
11 18 14678
21 22 46520
14 2 159025
39 34 70194
28 7 69071
38 3 28132
45 4 117555
29 11 90771
28 37 51841
19 14 102586
35 2 89202
14 41 127269
26 28 62175
13 32 122941
10 30 49171
27 47 107904
10 16 117705
12 36 60648
10 41 43387
30 18 40722
6 4 89959
40 29 113642
3 30 58698
13 9 14765
30 5 89556
40 14 135889
2 10 71553
31 22 84418
16 47 102265
35 29 71878
21 26 73111
27 48 113590
9 15 82111
23 25 160025
47 43 84924
25 24 56539
21 42 78720
41 5 28294
6 41 76844
38 23 150441
36 17 61558
39 9 50374
26 16 134055
8 33 53000
44 46 124862
37 48 81177
1 31 143806
1 43 186019
17 27 103498
26 45 104542
15 31 62752
5 31 93931
47 33 73313
8 27 34497
26 25 62130
8 18 22404
3 42 118853
29 47 92646
37 30 40922
15 45 69773
28 18 45529
21 30 33523
5 39 57146
12 26 98012
37 44 88379
25 34 100466
24 44 72468
6 19 52161
32 36 102562
31 36 75016
6 30 67670
40 22 82879
33 46 76621
48 26 51140
11 2 71779
43 14 140650
36 5 93151
22 16 148577
38 45 113184
26 18 69120
32 30 98967
43 11 48599
12 32 90733
25 3 63493
12 28 47456
27 20 79855
47 44 108171
35 10 67162
8 34 62018
21 45 44919
4 46 72551
33 29 82244
20 23 152420
39 3 29661
19 45 47975
27 5 91921
45 39 72109
18 43 33921
29 9 86221
17 11 31919
39 41 28852
8 30 63126
4 36 105203
43 26 35199
24 35 92897
38 11 60786
13 41 81214
18 38 75464
37 17 46797
9 8 97403
12 16 110841
16 37 109456
3 32 105577
15 4 73307
29 46 109337
14 36 136648
42 28 123162
36 30 3595
6 14 139752
7 22 111434
40 3 91290
44 4 81839
23 35 143488
36 2 86725
26 30 91676
17 22 85918
11 9 60321
3 46 93357
34 13 95592
43 22 87640
34 3 72548
13 11 70656
15 5 31179
35 43 92634
38 30 60774
36 6 71265
10 9 83448
23 36 86072
17 46 92622
18 45 52118
20 2 117223
21 27 64100
36 37 44517
18 6 56304
4 30 106159
35 37 58913
17 13 94808
7 13 117719
31 29 104365
21 28 44442
26 41 78878
39 35 36031
24 17 80781
26 22 119631
40 38 98940
4 24 74587
9 44 101746
41 40 48943
17 14 100650
10 26 88759
19 40 54213
38 34 95779
17 40 90555
4 14 157368
28 24 78068
26 17 52466
16 44 136979
7 1 197077
32 9 133244
37 21 7399
11 8 37082
7 38 105987
10 6 64753
41 20 71461
21 11 7479
20 17 90726
42 12 127926
34 17 71813
21 18 7199
6 16 58633
2 45 79922
40 12 79696
13 48 122256
14 35 112766
48 43 63529
29 27 87885
9 7 113665
20 39 55814
34 22 64137
39 22 84299
21 10 15648
17 42 81680
11 30 26044
45 8 56798
10 38 79012
11 48 81257
25 48 90460
18 31 45097
21 29 83292
45 14 144449
8 46 97785
34 37 25016
19 22 49576
3 8 69736
20 31 104184
32 45 20525
46 31 106080
7 20 104008
28 14 143972
27 10 79748
11 34 39894
6 22 95625
29 41 64699
20 42 145006
20 16 127230
22 9 114320
22 38 109884
10 12 51526
33 41 51136
21 8 29603
4 40 21479
15 13 81919
30 35 70079
36 39 62549
29 34 84411
23 16 194031
26 15 81763
36 35 73674
37 22 39121
5 45 100952
45 25 100106
38 33 44868
30 34 65938
15 30 58377
9 14 156721
10 7 80562
47 20 99408
24 3 81516
23 10 76326
22 25 114571
42 9 146520
26 47 106825
15 21 24854
17 5 79553
34 32 97859
35 18 58713
13 30 49042
38 1 91090
4 26 77178
37 26 80510
26 36 95271
39 43 91232
24 12 77261
35 41 63375
12 25 79520
34 7 97329
4 39 99274
27 19 61044
38 16 129209
11 24 48862
46 16 160962
44 6 78346
7 5 80662
38 47 97429
30 44 110326
33 5 79430
42 24 120103
16 4 148592
45 1 166896
38 42 146985
31 9 100414
29 7 74081
2 7 13215
18 10 22847
22 48 120298
45 43 86039
25 30 88719
16 13 140941
19 29 86348
29 43 55385
26 44 75059
33 44 97769
17 47 79206
23 43 133094
24 13 104560
7 30 96345
11 20 58807
19 38 71321
18 12 57875
4 10 73486
14 27 163630
20 13 13711
35 31 32487
17 44 99519
16 25 79682
6 46 102329
40 21 51157
35 40 102671
27 6 113205
26 39 96111
4 43 41979
7 24 56402
17 45 84317
29 45 107956
24 38 104747
1 14 212281
34 9 100215
41 28 16703
44 41 80224
7 37 72313
45 41 72658
5 21 56033
16 3 101077
40 5 43831
15 35 66260
26 7 11405
22 29 115014
24 22 73105
5 28 11591
1 24 173949
3 19 43189
11 22 53999
11 1 151876
40 18 58356
43 24 32608
14 42 178250
25 19 64995
43 32 92598
39 38 57793
6 34 81520
24 16 136221
14 21 99530
35 3 65692
32 28 92140
11 47 57395
46 32 118316
21 19 3056
31 23 129872
16 45 137690
26 3 66450
6 40 100262
42 34 111135
10 34 16767
22 2 118923
31 24 79281
1 42 224614
22 1 179086
39 42 129827
9 4 101961
33 40 74554
12 45 70208
11 27 71579
15 38 72367
25 4 68910
47 8 73407
26 32 113944
30 42 112243
25 33 46757
2 30 83130
9 43 108920
11 31 45377
13 42 141897
41 11 35218
29 10 67644
18 5 57120
10 43 56768
27 37 71499
40 36 88275
34 43 73535
3 41 58513
46 11 60703
3 29 65508
25 32 119529
1 17 142934
5 46 94903
32 31 103342
24 48 96137
46 30 34659
38 48 115521
8 5 57424
30 20 62753
41 19 24683
48 36 93766
26 35 64582
14 23 130264
18 44 73781
22 27 110620
6 32 99582
6 28 93547
23 44 159495
14 7 164444
9 21 67800
19 43 38064
29 4 97364
5 2 67447
32 11 72923
44 31 118878
29 6 62821
1 8 174869
37 20 68784
17 6 39102
7 32 102539
13 21 63177
43 40 63458
23 24 118559
11 6 41626
32 33 88841
42 18 85919
35 12 34130
16 15 77203
30 17 57963
24 19 44439
35 44 87403
47 34 82331
15 40 51828
35 17 12116
14 3 139663
41 22 74259
3 11 32654
19 42 81776
12 19 53732
43 6 47980
7 25 50725
18 3 47332
41 31 65637
13 27 89608
39 37 45178
20 14 155667
48 41 46039
18 16 103144
23 30 89667
48 9 107491
29 8 111710
13 23 138709
47 19 46860
32 24 98784
40 34 68774
32 21 65444
46 41 95921
44 40 103318
45 42 123639
42 25 141831
36 34 69533
48 32 62804
19 5 52977
14 5 155563
2 33 74334
2 24 69617
30 19 36579
24 27 105483
9 27 104373
37 14 92131
7 11 72393
13 25 103357
9 3 54629
1 26 185672
41 42 106459
27 32 70770
25 35 72267
15 37 32253
1 46 169566
3 22 86653
36 9 37872
38 14 153688
7 41 85774
33 4 96033
29 28 81402
3 27 104233
18 19 4143
48 39 74891
39 18 57678
20 6 68597
3 15 61398
47 39 56799
23 3 132107
16 14 198385
40 24 77742
4 21 72636
33 18 30596
31 3 78031
40 7 87252
23 19 95030
39 12 1901
12 46 91712
30 16 126303
21 7 64914
16 36 129898
48 42 137044
19 10 18704
33 20 42889
41 17 51259
38 25 91625
5 12 59047
13 12 63238
29 2 60866
38 13 11732
4 3 112769
41 38 69482
47 37 57315
2 47 100506
45 6 79057
2 3 91070
31 45 82817
46 27 132282
18 25 60852
11 45 52398
33 22 69917
35 11 44035
34 14 70705
34 12 68293
21 12 50676
31 13 101075
11 25 62675
23 8 121577
15 32 84618
18 1 152465
37 18 14598
3 43 81253
8 40 80760
44 42 159700
32 2 89324
1 21 147364
6 26 75422
7 19 61858
17 23 131372
17 38 92705
38 36 64369
19 17 42454
44 45 123481
25 1 172406
29 24 87993
46 2 48471
4 48 83055
37 19 10455
16 43 106613
30 22 80043
34 18 39614
6 31 83705
44 38 109165
6 35 51218
30 12 57053
46 48 55512
24 46 109565
14 31 137428
15 2 75444
48 3 104552
19 35 54570
35 1 130818
41 32 87503
46 19 71238
47 23 141890
36 29 98396
34 4 90253
47 15 25062
15 41 2885
12 17 46246
47 21 49916
42 5 134753
4 13 87196
13 5 83465
35 4 124150
36 28 81560
43 17 80518
39 31 68518
4 27 132801
36 1 155459
47 36 82115
1 5 151933
17 4 112034
28 39 45555
8 4 98304
28 47 44650
27 40 115257
33 13 56600
12 11 58155
5 3 86807
5 11 63512
7 45 93137
7 35 75987
21 33 23397
5 4 65310
20 12 57715
27 16 160045
10 45 60567
40 13 108675
39 11 60056
27 31 101998
40 25 90389
20 40 100919
10 40 52007
32 10 81092
27 44 103410
2 41 72559
10 1 148214
32 35 116958
48 16 126127
40 32 116601
13 44 116511
48 17 97298
5 9 68700
25 8 83256
3 47 86460
9 33 71365
27 38 77876
34 1 141576
29 32 128481
29 15 67584
36 22 83638
17 33 47837
42 6 120782
34 19 35471
22 35 98034
8 42 108323
8 31 67501
35 5 91669
34 33 55812
23 2 147879
24 39 79162
23 9 123944
11 42 86199
28 22 90962
22 42 125240
38 28 86185
12 27 114776
19 1 148322
30 48 90171
38 46 78476
27 35 115614
48 7 39735
46 45 113101
35 21 51514
4 2 78988
28 16 96791
46 23 124326
15 17 54144
35 45 96433
47 18 51003
9 17 80043
7 15 83656
11 14 107009
26 20 92603
33 37 30796
13 36 52637
1 9 117587
36 46 38254
17 16 97735
48 15 48924
7 31 102812
44 28 96927
25 9 118122
39 44 51372
46 13 66744
1 40 172582
18 9 74999
33 12 48298
8 43 56325
11 19 10535
23 22 123696
1 28 140342
1 37 139965
26 13 106314
13 2 115215
45 48 83329
37 10 8249
32 4 134577
11 40 58636
9 12 48473
43 21 41120
6 24 77588
22 46 114702
34 26 105526
47 42 128636
39 21 52577
37 32 72843
40 28 32240
19 44 77924
34 35 83929
28 13 95056
1 20 93069
46 15 93036
29 23 143970
19 4 75692
24 36 78501
33 1 135958
7 42 143634
7 16 130407
41 37 35138
26 23 165085
34 23 59559
21 48 73778
46 7 61686
38 5 95197
21 46 68182
10 46 83830
24 45 86302
10 47 65564
34 27 96515
2 18 70930
29 1 130634
22 18 53719
10 20 77033
11 28 51921
43 31 79018
46 43 85480
12 2 98614
9 24 109183
28 19 41386
33 36 45557
9 30 34277
28 48 29336
37 45 52318
9 2 100450
26 31 97069
31 12 66617
19 8 26547
11 23 99453
15 18 25941
4 23 149812
13 19 60121
12 37 43277
26 33 49714
14 10 87472
25 29 41772
38 2 119202
26 27 110580
45 34 77334
8 24 70986
12 47 58700
44 29 15525
11 15 32333
41 18 28826
16 1 203727
35 42 93796
17 21 39398
40 42 129877
45 47 94835
23 42 170694
40 39 77795
34 28 76857
33 23 115371
30 45 78442
40 45 96076
20 4 100907
43 41 62747
16 35 109851
10 11 23127
3 13 39864
32 23 157418
45 27 91295
39 25 77619
31 33 61295
29 30 94801
45 3 85052
7 33 61119
7 39 107516
37 25 75450
33 43 64517
12 8 80279
44 11 88459
44 22 127500
36 42 115838
31 30 71421
19 9 70856
10 33 39045
26 19 73263
37 43 48519
21 44 80980
10 3 55781
18 17 46597
2 17 77086
24 18 48582
6 37 56504
47 14 149446
4 12 101175
48 1 169678
9 40 103051
8 14 129133
1 13 102822
20 22 107905
34 48 69674
4 37 65237
20 28 88164
34 46 100597
20 48 117500
40 16 129031
40 30 84680
36 15 61972
26 9 121079
14 26 153116
17 29 83994
36 11 29639
4 42 151356
39 1 94787
18 20 73485
36 41 64857
10 31 53546
36 25 92314
14 13 141956
23 15 116828
44 3 81033
48 29 87386
14 24 126115
1 15 126524
22 13 109697
31 17 44603
8 44 96185
22 32 111964
37 42 86119
30 39 58954
23 6 141079
6 1 161666
27 42 142820
8 41 51230
36 45 82037
34 15 57269
39 46 93613
37 24 33984
44 15 83109
19 32 62820
1 32 187421
21 36 37118
1 30 151864
18 29 89306
5 22 102553
16 11 100259
17 39 48147
40 31 89055
10 42 94368
28 23 136416
35 8 81117
33 11 15918
2 27 127831
32 18 58677
45 23 136893
42 15 103574
2 40 88096
33 48 97175
12 6 74006
48 40 61576
5 29 92993
8 26 91524
29 12 37748
6 3 42444
5 10 71681
21 16 102057
23 48 129233
23 12 127852
15 25 86793
18 14 106729
28 46 83312
39 32 92634
34 2 88320
16 9 155706
38 9 26497
31 2 96524
48 47 73986
16 41 80088
28 45 89361
20 25 89646
40 23 128333
15 27 82842
39 29 35847
33 28 67839
48 19 70722
46 37 75581
7 12 109417
44 48 102911
28 10 60090
47 46 113179
31 38 106163
6 8 78708
29 14 155116
8 2 93334
29 16 121454
15 33 48251
20 15 74346
10 13 78825
43 20 107406
12 14 135408
5 26 73766
32 47 109680
15 10 40502
15 14 124384
39 8 80082
22 47 96436
36 19 40174
46 26 73091
20 38 1979
46 20 80455
39 19 53535
2 26 24620
8 17 69001
31 4 110534
19 15 21798
41 1 123639
32 14 164974
31 25 104754
17 28 67962
26 40 94415
16 42 179415
36 27 101218
31 28 82340
21 2 78129
14 48 140379
16 31 139955
4 22 104358
46 25 112411
30 28 77965
4 7 65773
37 23 84575
46 35 104738
48 31 111676
28 3 75216
9 41 79226
2 44 76391
31 47 87814
41 30 61262
8 28 67933
27 25 117753
35 20 91845
19 31 40954
10 44 83169
48 18 74865
10 39 53427
43 36 78238
21 41 27739
12 43 91796
17 7 63871
13 37 70576
42 2 156849
18 4 75900
11 37 14878
15 8 48345
29 38 93640
15 39 31737
8 32 36273
10 22 47370
Case #90: 176
36 1 183153
38 27 268496
12 26 202731
5 26 378842
27 6 302889
23 24 222322
5 7 314529
35 32 261192
37 3 355451
29 23 133028
15 30 212689
16 34 317301
14 28 252814
23 11 286628
5 13 245042
18 31 115487
27 29 204355
34 3 258552
22 21 236375
19 14 126473
3 15 222379
26 24 237768
19 33 158093
9 37 74668
6 18 183400
14 35 261896
21 3 230443
22 3 356516
30 38 228816
20 18 270672
14 9 145018
25 20 260394
12 19 376711
39 24 283926
35 28 62514
27 16 220056
6 15 127092
17 13 384392
10 37 147459
7 9 210703
1 27 363295
25 39 316939
30 4 108886
38 5 273289
30 25 450684
30 9 139104
30 36 226987
20 3 332218
32 5 157101
17 39 348048
16 11 352887
26 9 261629
14 8 106263
28 36 281047
16 22 345724
15 33 141624
22 29 245092
10 20 307993
30 19 229158
6 4 174894
12 36 356541
24 35 93012
12 6 411627
38 21 249790
7 18 218227
28 2 149764
1 13 224471
37 20 310522
11 31 172797
27 15 232372
32 6 88915
9 19 157811
32 15 38177
3 38 204662
36 7 242434
22 30 154401
30 27 321328
14 12 363918
6 1 99164
2 11 267181
34 10 206156
30 23 250001
11 18 187511
1 8 84267
32 1 149324
33 29 169641
7 8 171948
18 30 156381
19 24 266377
36 13 235386
12 3 456087
29 8 130604
22 12 372143
33 31 108245
28 32 211608
2 26 213770
25 27 184008
24 21 367291
33 9 282
15 23 161045
11 26 326463
8 31 69208
30 12 435514
26 6 268842
32 34 74350
16 37 344659
20 30 374958
26 38 351341
24 14 222316
12 1 341922
39 30 311605
20 13 236541
18 35 242414
37 23 321688
30 31 209424
38 20 352860
17 14 245929
23 2 261066
9 32 103812
32 18 94485
16 35 407790
3 31 210463
7 13 288975
35 31 227700
15 36 107616
38 14 234730
33 6 144394
32 27 270549
38 16 359139
3 39 245115
34 26 201264
25 26 248526
28 22 177979
19 39 222885
25 2 317870
21 20 299407
25 23 255335
29 5 90907
24 7 302081
29 37 214254
20 23 346756
35 38 210513
9 21 160642
31 7 217979
30 8 177859
6 9 144676
26 19 341930
2 31 170517
6 30 283780
11 35 54903
4 15 171560
5 28 315699
23 31 181291
17 12 512890
13 4 171534
29 12 362040
28 25 365501
17 3 102933
31 22 146053
35 19 315191
3 13 281459
20 22 311587
38 29 209943
4 25 382825
10 2 193650
35 22 115465
1 33 45230
12 28 470997
25 9 359838
21 1 115130
1 19 203323
29 28 277802
11 3 383260
17 11 351114
33 4 30500
32 25 256026
Case #91: 120
1 16 148728
6 23 201932
11 3 208145
25 11 33548
16 2 259706
9 2 216622
26 9 75291
11 24 24653
11 8 198350
17 22 153544
6 25 186633
5 16 300301
9 23 137822
14 23 142715
13 12 228880
3 23 223408
14 20 253358
4 21 114867
20 16 315867
3 4 227749
5 14 196371
17 1 91093
26 12 222302
7 15 84960
17 20 307950
4 13 77018
19 3 239920
3 1 207158
13 22 44708
8 23 183087
3 5 253956
21 25 142271
1 7 128117
24 16 140784
19 7 65694
5 8 331853
21 19 88921
12 3 216407
21 20 274933
4 1 159883
16 25 165401
5 23 156901
11 9 122559
8 15 141354
22 1 127573
4 26 46539
2 25 207225
14 26 46753
16 21 134255
14 21 156267
9 19 95884
8 1 174991
13 11 83852
24 10 7861
21 24 166888
3 20 312048
15 14 83308
13 6 236937
8 3 187431
26 13 58937
15 2 141681
25 8 207552
26 1 141802
13 24 74921
12 20 152939
8 19 250578
25 15 85876
8 16 259379
17 24 83149
18 5 303489
19 14 67346
7 14 1652
9 6 196030
19 25 101376
25 26 109241
20 22 192376
9 8 216949
12 11 178612
20 9 281896
14 17 152436
17 13 108836
9 25 89011
2 20 124290
23 1 47860
17 10 75288
8 26 235164
2 3 187758
22 6 228474
16 7 102278
17 26 167773
24 25 24617
13 19 51072
15 16 187238
7 4 91640
9 10 105767
15 12 170330
9 5 167833
20 26 206605
2 6 20592
11 20 320936
19 20 186012
15 13 136180
15 23 101175
19 16 167972
15 10 69120
11 19 134924
24 20 306898
9 4 121830
1 12 146015
20 7 251706
16 3 71948
6 12 8057
2 1 174664
14 16 103930
10 16 148645
7 5 198023
1 15 84925
11 26 142789
10 7 112312
5 13 225490
Case #92: 64
5 6 118460
10 7 152766
5 8 264579
5 4 395810
4 9 205146
12 3 15988
11 6 240065
13 6 284116
7 3 125286
15 2 287875
12 8 322924
14 7 224049
13 5 402576
5 9 447863
4 2 58425
9 8 342230
1 6 37712
2 3 323076
10 5 255801
10 14 341636
4 10 289419
14 2 206993
13 15 274932
15 12 51189
12 10 43468
8 13 224287
2 5 337385
8 15 344338
3 8 338912
12 4 332887
1 8 183831
2 13 65191
12 2 339064
11 13 161956
5 3 283281
7 6 67507
4 14 241476
3 11 328409
4 8 231053
1 12 214517
1 11 202353
1 3 230505
12 7 109298
6 4 277350
11 9 360336
1 9 379918
13 9 198380
14 12 333347
13 1 321828
9 3 181389
2 10 295596
11 8 251568
7 8 213626
6 8 146119
14 9 352653
15 9 216590
3 14 349335
2 11 227147
6 9 342206
1 2 256637
6 14 156542
15 10 7721
15 6 227994
7 1 105219
Case #93: Impossible
Case #94: 914
32 19 38151
3 17 53073
18 6 82692
11 10 35157
29 37 43843
38 39 117021
27 7 90761
17 27 27078
7 48 177958
7 23 92089
2 44 77047
40 4 122063
25 3 137426
5 24 110121
31 21 160365
17 30 49092
41 45 45583
1 32 86750
13 32 105192
29 46 1994
17 44 87368
44 6 135369
18 11 73051
43 44 110716
25 31 179022
6 32 78161
7 5 133313
29 13 102614
26 20 106560
32 21 101520
5 29 58447
19 40 33512
12 10 36913
10 44 90571
36 16 18472
45 3 39908
23 15 89714
