350
23 125
19 20 242443
10 18 293840
11 14 155384
4 14 333415
11 17 282054
19 6 250730
11 9 137137
16 9 213087
9 2 167339
10 21 67982
7 3 22768
11 12 120366
8 22 300668
17 10 233420
21 20 36748
3 16 92207
14 17 126670
18 15 227248
14 18 272498
9 4 260961
4 15 304562
10 12 117030
22 19 362477
16 17 233181
13 7 151563
20 3 197176
16 10 239
12 9 257503
5 9 242013
17 15 359579
20 8 208278
5 17 241098
15 6 199165
20 16 104969
12 20 12300
18 7 195827
19 10 164647
17 13 111028
5 21 159158
8 18 160838
1 6 102323
5 11 223428
4 5 401459
20 17 265088
15 2 262997
6 18 28083
19 2 242485
11 20 108066
18 9 289545
13 20 154060
20 1 185245
7 6 221411
3 18 218595
10 5 227140
4 2 292694
3 22 257326
19 11 240358
13 15 306185
17 22 305505
6 5 145554
18 12 201410
12 13 166360
4 20 286097
14 13 237698
11 16 75950
2 14 245480
18 11 259560
20 15 171134
15 5 344719
19 17 216584
12 22 252430
20 5 195906
12 19 254743
22 15 367078
20 14 152529
6 10 307666
15 19 311826
2 8 88052
18 19 222647
17 4 411504
7 1 121587
2 13 152167
10 20 104730
22 14 412328
14 9 226751
4 16 253981
22 13 300909
9 15 360505
18 21 225858
9 3 189503
2 5 165441
21 22 301478
16 22 349533
21 11 71318
22 20 264730
5 3 187586
18 1 74240
8 3 111424
15 7 262393
8 14 255596
17 12 277388
8 4 278243
1 2 122191
10 3 92446
7 21 165635
16 21 68221
1 21 202389
3 12 209476
19 14 89914
15 10 147657
9 20 245203
21 15 207882
3 17 140974
12 16 117269
3 15 239625
5 8 123230
9 19 136837
9 13 270398
21 9 208455
4 1 414885
16 19 164408
3 11 168157
1 13 86839
1 15 301488
9 7 166735
19 4 388890
18 17 165675
7 19 241881
1 14 198258
7 12 214683
1 19 148407
6 14 287084
13 3 174331
3 2 23372
2 12 214079
12 15 183434
4 22 493215
14 3 267644
3 21 160428
8 15 323580
4 10 254220
13 11 188630
21 2 165031
7 8 88656
7 10 115214
15 14 323663
10 11 76189
17 2 118810
22 18 139830
16 7 114975
6 4 325302
1 10 236801
21 4 249349
6 9 317628
4 13 366661
16 6 307427
12 6 229493
13 21 117312
22 2 280698
2 10 115818
11 7 188868
9 8 232041
17 9 284941
9 10 213326
13 10 158528
8 11 100212
4 7 293298
4 18 353385
7 17 118206
13 8 240219
4 3 316066
4 12 298397
15 11 223372
8 12 220578
27 6
24 22 493100
10 8 859576
18 16 111334
27 6 697827
20 8 898488
23 14 539918
14 11
5 7 934428
2 4 438458
1 3 511516
9 12 980440
5 9 714502
7 8 771981
5 11 867746
7 12 668490
8 10 680435
6 4 990152
6 8 751976
3 1
3 1 5
24 185
20 4 112488
4 23 117503
23 12 53330
18 12 119709
5 1 115785
22 13 164190
16 22 136415
12 16 84050
10 16 63409
1 17 121930
2 4 193892
3 8 329937
7 20 130574
10 13 119606
11 1 179884
2 22 269601
24 15 270590
14 4 144780
14 6 85686
6 20 72296
11 20 35758
23 1 158013
23 8 298581
23 7 116687
11 4 95632
7 11 94816
6 18 124788
21 6 108793
23 6 58409
13 1 207206
20 8 291688
13 7 76890
10 17 89120
22 7 115722
8 7 248069
5 9 77677
6 13 145326
21 2 269883
19 3 133948
21 24 176515
5 4 39668
21 16 130333
14 3 172449
6 4 59094
8 6 302199
22 6 57444
9 12 5840
17 12 199300
23 22 39670
17 15 269479
22 3 138376
7 10 84102
22 1 197683
19 15 229683
4 18 183882
12 5 81995
24 9 185195
16 3 102561
22 10 143562
22 24 217614
18 15 68221
2 13 245645
24 10 79333
12 15 170155
24 14 218705
3 4 27669
4 17 146075
24 3 128193
3 7 123254
23 9 59170
2 12 236219
7 21 151026
14 15 212654
17 13 113925
7 16 20693
16 13 56197
9 1 193462
4 1 155453
20 18 80266
20 9 73057
17 2 149115
13 24 123712
12 10 110180
16 15 198296
3 2 221561
17 8 269492
17 19 183916
24 1 112143
16 4 74892
5 22 115377
24 4 147186
2 20 254883
18 23 66379
22 14 117724
3 21 48322
1 20 144126
13 11 146391
9 17 194982
13 14 202574
22 8 338251
21 13 74136
11 16 115509
21 17 166728
23 13 124520
6 17 194221
9 4 59855
12 1 197780
5 10 28185
4 10 67853
8 15 368982
18 16 155919
23 11 21871
8 2 260940
5 21 115659
3 5 67337
9 10 105862
19 14 206202
18 13 190899
22 9 58205
2 23 254287
21 10 143844
7 24 163435
18 14 144433
5 8 262600
15 13 254493
6 24 184434
17 18 234536
18 21 116763
12 6 5079
12 19 115437
20 21 36497
12 13 140247
5 19 66611
13 3 122458
7 17 173222
14 17 208918
20 19 179182
1 8 147562
8 14 376635
16 20 149174
15 6 165076
3 10 95522
22 17 207827
9 7 69197
19 21 161720
23 10 128248
21 15 184984
20 17 182044
18 7 176612
10 2 126039
23 17 168157
1 14 236067
3 23 98706
3 18 165085
16 5 35224
15 2 216776
11 5 94471
24 16 142742
14 11 99925
14 10 190787
11 21 72255
20 24 191831
5 2 154224
16 23 135287
12 4 64173
1 7 171702
14 23 78054
2 6 231140
6 9 761
8 16 227376
13 20 110633
21 4 75991
2 24 158902
7 15 218989
14 21 128438
15 22 174270
16 14 174815
15 4 123404
2 7 210141
2 19 220835
6 3 86763
8 10 235162
18 22 106049
10 15 191257
8 13 283573
47 912
6 30 137930
11 44 111811
12 3 64467
38 45 192426
45 10 142395
24 19 178400
6 13 82589
17 10 66522
27 15 91435
35 24 73385
25 44 90748
26 30 152805
38 36 134800
35 31 49275
47 43 91148
19 21 178240
30 46 129823
14 15 62445
18 45 159485
6 20 66911
41 28 166536
12 9 106186
4 24 124772
3 18 41896
17 22 113196
33 27 66201
26 5 107310
34 25 107687
10 40 39129
27 6 51375
25 27 77959
32 46 51758
34 7 128551
8 3 83565
13 2 107692
47 18 63699
42 18 123274
31 28 155385
14 7 89444
23 8 90828
2 41 86231
2 10 82673
11 35 19581
19 4 133260
27 20 86584
34 44 187686
24 5 126056
33 3 69853
20 14 108284
30 10 95022
45 28 140027
36 31 120962
17 44 184832
8 16 70805
20 35 96812
23 33 120778
22 12 78789
16 5 85252
19 29 210959
12 30 145884
46 31 70994
34 22 118889
26 3 65387
2 32 52718
22 8 42639
18 19 102349
40 26 132730
14 33 111636
13 37 85499
38 40 89160
30 31 131215
11 45 135896
30 21 141883
38 26 156630
2 14 52607
6 16 100765
36 13 122786
27 17 134420
27 1 127159
6 5 135719
43 35 81994
6 19 107122
14 24 86580
34 47 82203
36 9 139760
25 35 55635
16 24 53662
35 12 84569
7 3 126864
2 46 104476
20 19 161932
33 22 72589
21 37 76335
44 40 79181
2 31 118866
36 8 141590
32 7 62033
1 45 201656
47 37 90292
6 9 54538
3 28 167066
47 42 106279
4 1 61808
44 15 153785
5 1 169993
29 37 104268
44 23 88545
41 44 211039
7 10 91988
2 33 108588
16 28 99994
6 34 70096
12 4 97178
13 12 109504
36 43 76713
34 35 121356
23 43 25951
36 28 170779
34 28 172712
14 12 79820
34 4 24566
39 17 147292
22 1 105935
38 24 110334
31 15 114431
46 37 82283
14 39 73143
38 42 155345
28 7 117142
43 13 93931
4 29 110244
27 21 76862
26 14 97468
36 37 112757
45 44 187979
9 15 72083
10 25 42553
40 22 72805
11 34 101775
1 3 97642
8 34 79021
42 34 122040
36 10 84769
17 46 101323
46 36 119570
44 20 145762
24 29 35979
20 47 48026
25 23 8546
20 12 94697
9 41 100526
1 29 162959
40 16 100971
15 8 113929
41 31 138898
19 15 113881
24 27 90315
23 26 83542
45 42 83233
15 43 97534
28 32 111261
45 3 177029
20 37 79166
23 28 120017
8 19 180991
24 44 138232
34 45 158251
47 26 87190
32 44 135267
40 5 140759
44 47 174989
47 5 116834
26 43 109493
7 26 132569
34 41 116084
4 2 112686
2 37 49805
27 44 157958
35 16 84204
2 36 90474
5 27 84911
27 34 97665
37 30 93973
33 28 172841
14 47 114612
42 37 73316
10 11 6499
29 26 85119
36 7 59761
16 46 96643
40 33 128957
39 20 93103
19 2 144427
42 10 105314
41 11 114480
19 11 132591
36 6 142339
4 17 150230
40 23 90228
37 12 92595
42 27 80734
18 24 133736
3 36 132643
1 13 97278
13 3 72893
32 9 109673
5 44 168749
5 34 127384
40 37 86611
31 9 100221
19 44 199460
17 20 150252
24 21 107164
13 23 89116
9 13 117735
36 20 107979
20 3 69829
19 39 168720
26 33 132117
13 10 38017
2 43 13761
1 20 117611
5 15 101921
25 3 90427
27 22 21224
14 27 45435
19 1 178178
37 5 81760
2 30 68692
30 20 125575
5 14 39476
16 38 121153
26 25 74996
4 42 98972
8 20 107999
12 16 57503
37 24 82897
10 19 126092
4 41 109534
39 13 105789
23 47 105243
9 8 63463
9 19 142268
12 27 100013
40 28 158321
8 32 59358
2 12 77192
4 21 89084
12 34 94020
35 42 118396
4 47 57637
16 32 44885
11 20 77231
45 35 155477
12 11 77986
13 35 51099
9 27 82107
15 16 91606
24 2 33973
42 32 76229
38 9 142747
45 24 93695
27 13 92917
9 14 127542
25 37 70541
5 46 136431
29 36 160426
25 16 28569
14 37 52853
7 44 137572
14 36 93102
29 13 128717
2 47 104909
47 16 85220
31 25 78746
3 21 106887
44 3 153186
31 14 115787
45 7 96559
40 24 99432
38 10 50031
30 18 129314
3 22 81550
18 13 92073
39 45 128830
46 40 60932
8 41 89332
34 23 99141
16 39 62262
34 31 115779
33 24 141680
37 27 7418
15 12 34103
44 22 136734
45 25 107980
7 9 112993
19 5 197462
47 11 63178
46 33 128188
19 45 204149
32 34 125231
45 32 112440
30 13 133039
39 40 106901
19 28 204985
3 2 117549
5 42 105086
16 45 79411
5 31 150821
31 39 98689
20 33 89822
36 27 120175
23 14 59432
41 29 156183
17 33 159909
21 32 98387
4 37 80517
2 26 123254
7 31 128181
43 20 43122
46 15 100041
42 44 151768
26 46 128402
46 18 111573
32 19 141848
25 30 116950
19 41 226414
46 7 113791
45 6 167333
37 16 41972
20 28 137188
2 42 23511
15 35 91320
16 10 71122
3 47 21803
18 10 89770
1 11 65760
43 12 63431
33 30 137689
25 29 118210
10 1 72259
13 45 167414
23 27 69413
46 8 82600
31 47 105870
9 33 43027
37 34 105083
36 12 71150
12 19 79778
21 47 85084
17 21 187310
44 4 174119
23 37 61995
21 15 110583
16 19 124738
2 38 132704
4 26 98098
47 7 114224
42 23 63223
8 40 86928
47 28 185214
44 2 128257
8 25 99374
13 31 74210
2 21 73191
30 36 159166
40 12 110616
38 3 97905
5 25 88750
24 25 82231
47 25 112230
43 5 90192
23 5 80204
25 12 28934
26 12 46062
24 6 117873
41 16 102471
11 29 97199
15 45 171017
1 25 111160
41 40 147110
14 8 81686
17 47 136199
1 15 124883
26 34 122664
39 36 133047
3 23 98973
20 42 80394
5 28 168206
38 29 146313
24 12 111165
24 42 57484
31 24 96496
33 31 57194
22 38 96705
38 13 88048
31 38 86224
39 35 93852
33 4 34019
45 21 132913
8 33 87616
4 39 100807
34 20 62353
16 44 108568
28 43 94066
47 29 160377
35 38 36949
11 26 100100
5 41 142259
29 17 162804
41 1 171342
32 15 95195
30 42 92203
26 16 103565
16 3 107023
44 29 102253
2 16 19689
25 11 49052
28 4 183661
30 39 114263
32 27 37943
18 43 86002
2 7 36837
11 2 76174
33 13 131404
45 41 145953
40 47 95808
40 29 129829
5 17 181150
14 16 72296
47 24 129980
44 38 168341
34 15 87641
3 29 138574
15 11 71739
7 12 86507
12 29 131181
40 15 104369
14 22 66358
2 39 70095
12 8 121428
13 34 133293
31 18 125963
19 31 162285
46 47 91480
28 8 142891
15 37 88398
31 29 132475
35 9 105798
24 22 69091
39 47 93097
11 14 73095
13 41 145998
31 37 78399
18 8 125461
28 6 172851
38 28 128924
43 9 89917
3 19 97426
47 32 86634
6 38 107601
39 26 118582
26 19 125840
14 4 118534
33 11 99886
22 23 48189
29 10 96282
24 1 132562
10 37 60480
31 11 42692
45 30 128414
47 6 31499
38 18 139801
16 42 43200
20 16 37194
20 2 56883
25 2 48258
35 41 134061
21 23 73525
16 30 88381
4 38 133739
1 30 165478
7 6 117913
30 24 34719
1 16 134101
39 29 124558
22 47 103353
4 25 121566
42 25 71769
22 31 82867
46 39 102573
17 12 138009
46 10 34801
25 38 92584
21 22 81668
23 12 37480
25 15 63037
33 12 131197
39 5 87795
19 23 117258
8 43 64877
1 35 85341
7 4 122001
25 41 131040
27 18 102967
32 22 16719
13 5 139647
35 33 106469
13 42 130333
46 23 85900
45 23 99434
40 4 94938
34 24 113823
21 38 170819
11 39 74271
43 16 5928
21 44 162070
10 41 120979
44 9 183127
1 12 140094
24 8 102001
10 44 118310
33 45 167323
22 41 74305
20 38 133761
15 33 97094
31 10 36193
20 5 68808
28 37 114058
6 40 83701
32 35 43037
2 5 92083
15 42 134806
47 1 119445
32 23 64908
20 7 66198
19 14 159598
4 16 92997
10 34 108274
36 41 173256
22 7 45314
44 13 143329
4 5 120834
33 37 58783
43 30 82453
23 18 60051
38 14 129625
1 23 119706
35 44 131392
17 40 105651
12 38 121518
22 29 90462
14 13 104613
27 4 73099
9 24 115764
28 25 128563
24 10 60303
6 26 75083
4 8 54455
35 3 60956
41 7 119619
8 13 85816
20 13 104305
42 14 76118
23 31 87292
9 4 9008
43 7 23076
3 32 64831
29 28 94868
30 7 105529
5 3 132285
18 29 108610
34 18 99173
6 11 51071
1 43 128173
25 18 51505
3 17 114396
1 2 141934
26 28 179987
25 17 109075
41 33 119282
29 45 129674
12 10 71487
26 10 106599
46 43 90715
18 37 99930
44 1 112311
29 2 69952
41 20 139665
41 24 120204
46 12 106288
43 4 98925
22 35 59756
35 27 80980
21 10 120788
17 18 156292
5 32 84673
28 2 80305
37 22 13806
30 38 145053
32 6 74527
39 37 20290
2 15 111295
13 11 31518
39 8 49123
35 5 127710
42 33 132099
27 2 57223
36 18 93721
23 36 50762
31 40 75322
21 1 138243
42 39 93606
44 39 170830
29 8 133101
43 24 47734
10 39 80770
15 38 128269
13 24 98320
40 30 134151
37 38 110511
43 37 36044
18 9 83615
33 34 58585
8 44 166109
21 8 105168
35 14 92676
22 25 56735
43 25 34497
10 23 51099
13 16 99859
37 6 58793
35 6 70652
41 26 158791
1 17 138781
46 42 127117
43 21 59430
34 17 174796
7 1 128705
33 39 79073
17 24 126825
38 1 122290
20 18 111725
29 7 106789
6 29 148270
17 19 59570
1 14 138855
35 19 113010
29 30 70698
33 16 100755
34 29 85678
29 46 125501
9 29 101236
40 27 94029
37 32 30525
36 44 132964
37 7 59120
13 7 117007
7 35 105070
5 10 114628
29 32 73743
33 10 93387
11 8 54298
14 17 146116
11 40 32630
43 14 66368
41 14 113352
46 25 77354
32 14 49639
32 41 91024
31 32 66148
3 14 92809
1 46 94062
8 47 61762
40 19 165221
45 22 95721
3 39 71294
8 10 60797
3 4 35834
27 30 86555
17 45 208917
13 32 54974
42 26 146765
41 43 96543
4 45 172408
16 23 20023
6 15 40060
44 6 162882
10 15 78238
38 41 171010
17 37 127002
3 15 30364
9 46 114519
1 37 119741
42 36 113985
45 36 150196
6 14 96810
46 20 105533
24 11 66802
12 45 136914
43 34 105475
36 47 154446
36 33 111257
25 9 112558
34 19 157826
29 35 109364
3 11 41375
41 6 119292
5 29 158416
19 47 119229
2 17 149195
41 3 128988
43 22 22238
12 31 107680
9 3 44842
45 8 127750
38 33 143418
12 47 86270
40 25 81682
26 45 182976
11 21 114289
47 13 56279
18 15 11532
17 43 135434
32 39 50815
18 39 113190
27 46 89701
9 21 80076
39 34 125373
24 36 124447
6 33 79549
31 21 147843
39 38 130801
22 11 40175
10 28 119192
7 19 153742
32 10 29955
9 20 46795
33 7 117903
5 30 160775
6 23 108669
40 14 105725
13 22 71693
33 32 89308
36 22 98951
19 46 160893
41 15 148897
12 21 111005
7 39 79410
8 1 116263
17 42 171836
17 36 151291
15 36 105253
3 40 74005
12 5 117684
46 38 84832
43 38 118943
35 10 13082
47 33 91656
39 6 79083
27 47 82874
8 6 87626
21 35 133870
28 17 145415
12 32 62070
46 6 79373
30 9 94662
41 42 62720
22 10 46674
2 8 68028
4 18 74607
18 14 73977
23 24 73685
34 2 98529
41 47 150791
11 42 98815
42 29 93463
35 30 108104
1 32 89216
34 46 130077
1 39 140031
2 23 39712
26 15 35023
11 23 57598
29 21 143143
11 38 56530
45 9 163400
5 18 113453
23 20 57217
30 3 139504
35 18 102852
4 11 77209
20 21 37058
27 41 67917
15 7 120610
9 37 89525
26 18 23491
20 10 83730
5 7 113268
4 46 105511
7 23 49027
28 27 121476
17 11 73021
32 26 108132
13 19 164109
43 33 94827
22 2 35999
25 20 65763
12 44 119682
21 18 99051
31 45 178588
33 29 144263
40 20 109861
26 44 165744
19 27 158497
6 25 100123
38 47 119708
27 45 115958
18 44 142253
16 9 83989
42 8 44517
18 1 136415
36 11 91268
1 33 95827
32 4 100665
13 28 157209
46 11 28302
30 22 103810
35 23 64181
36 35 97851
38 17 16491
24 26 121098
27 39 27708
14 46 101397
41 12 153094
22 6 72599
39 9 109815
39 24 103187
17 31 102715
32 18 84641
28 1 191451
11 7 85489
21 41 136056
7 8 87953
16 34 99547
43 31 105105
20 29 126835
19 25 108712
9 28 174653
40 13 64148
29 14 122559
26 8 127125
6 12 74163
3 42 128082
17 8 127319
21 6 103969
8 38 110828
19 30 213119
4 15 63075
38 7 142019
11 9 86217
47 10 69677
6 18 51592
16 21 53502
32 17 96477
15 39 101658
11 37 53981
3 37 68489
39 43 56334
47 9 66645
39 25 90831
27 31 70981
39 41 80789
35 2 95755
41 23 122494
32 38 79986
45 37 108540
1 31 108452
13 4 108727
28 46 153993
20 32 82079
27 43 43462
14 45 112329
4 23 113020
21 40 146919
32 36 114724
21 34 95634
1 34 86374
30 14 121299
28 35 132274
13 21 141363
28 21 153496
10 43 68912
35 37 73562
24 32 52372
12 18 22571
10 9 92716
16 7 29004
7 24 70810
38 23 101130
22 5 67954
42 6 132109
41 18 160429
11 27 61399
31 4 91213
25 36 42216
47 45 164631
14 10 79594
33 25 129324
44 43 114496
8 27 36251
20 31 119923
44 331
23 29 6412
43 37 284456
17 3 93975
41 29 93515
5 2 205573
24 12 153449
6 19 57395
44 43 172323
1 25 151561
15 6 133024
26 27 282791
4 9 250344
16 1 196344
25 37 168542
35 5 217416
8 1 130325
3 24 173328
16 26 143580
12 7 170732
6 31 111909
23 38 158085
27 1 246169
22 44 166355
30 35 142890
21 44 98775
44 34 96803
3 12 71132
9 10 253530
26 18 155771
6 32 53029
9 14 176400
9 30 230617
13 18 54997
30 1 156189
25 24 158291
30 39 127685
9 6 187326
32 14 78925
16 22 192217
43 27 102908
36 33 5606
30 38 59807
6 2 162387
4 10 213661
33 16 177042
21 22 139765
12 15 32650
23 40 186633
40 32 121657
14 43 88186
36 30 107835
25 4 37005
19 7 134795
9 5 298166
1 24 106536
18 25 126506
35 20 122796
35 10 189461
34 21 92294
33 37 213604
13 4 145740
20 3 184153
10 7 231654
2 19 104992
42 20 194920
11 3 131194
37 13 218168
25 12 62355
24 41 90732
28 3 153032
20 13 117236
24 14 142242
21 10 205022
39 10 106780
42 13 100583
4 37 131537
18 21 131615
14 25 159605
37 8 224623
27 31 243604
31 21 199499
32 26 165445
26 3 145210
33 25 104597
25 31 160234
16 32 182305
23 37 171354
12 20 113021
31 24 177027
23 6 116760
35 21 192235
39 6 40576
35 13 93157
28 12 135843
16 5 183813
38 5 182326
19 27 189090
32 23 101692
18 6 44025
25 5 169117
36 31 88403
2 42 163948
8 42 107038
6 8 105477
40 27 296945
37 26 180265
41 19 31781
40 41 94242
34 22 90440
24 10 175554
2 18 118362
3 39 135823
33 19 35279
14 8 28353
30 25 213822
24 16 162148
32 24 118147
31 44 215649
6 43 118413
28 35 28754
8 17 167278
36 27 204811
5 22 176056
31 15 165535
32 27 210553
8 38 3619
32 1 59970
1 2 187235
41 42 63997
34 18 98590
19 18 13370
31 37 243279
11 19 49110
44 14 180864
7 40 210812
7 22 129575
1 33 46964
25 35 180587
8 29 148054
2 36 138881
44 3 91016
44 2 169948
32 9 189127
28 16 212894
37 28 282571
20 29 122995
33 5 152993
13 1 123870
28 25 151833
15 8 159103
6 44 171511
10 37 301924
30 18 87316
30 13 49733
24 2 142679
11 33 13831
6 33 22116
34 9 241891
1 15 130210
17 35 185058
10 18 110229
25 22 134656
37 2 275313
31 40 180537
29 40 187757
39 33 18460
2 31 159506
40 8 173229
15 28 135721
1 29 109319
44 42 216890
43 4 159308
34 12 31884
22 20 164083
5 24 208958
21 25 122765
7 8 151460
40 26 232272
32 5 176910
3 43 151147
17 26 217741
15 25 95005
20 10 222043
42 27 230632
16 19 186997
9 22 151451
41 25 108095
30 27 97730
26 29 84052
38 7 147841
13 25 181503
36 12 105597
7 32 167251
13 19 41627
32 13 100823
9 18 143301
3 23 54746
41 15 114406
3 27 254055
43 38 76362
10 31 178113
21 9 273258
40 38 176848
39 23 113104
35 22 114874
43 22 113135
41 6 25614
21 20 173431
21 43 161596
22 37 183545
13 44 202762
28 38 74477
33 14 55008
31 32 113710
35 42 161640
20 14 139134
17 9 249127
18 27 185046
20 30 166969
6 42 89611
20 1 224919
6 34 142615
23 9 259854
19 10 123599
10 8 171681
32 38 110897
11 2 154102
35 24 129256
16 43 211009
32 29 95280
43 19 107915
14 7 154524
4 33 125341
15 36 116514
17 36 89523
24 40 184974
27 25 252856
22 36 28669
37 44 219887
6 7 165450
8 9 204753
43 18 118206
26 41 138030
32 15 117956
27 15 236744
18 11 35740
22 1 77023
30 32 133142
25 32 135510
16 18 195158
8 33 83361
8 23 154466
6 10 66204
31 20 213377
25 29 72329
27 5 289685
16 14 206726
38 26 204542
42 39 85955
26 31 190169
39 16 195502
10 16 265362
39 35 108476
8 41 79863
10 28 186502
18 17 105826
29 18 111926
33 28 98182
31 14 74243
39 8 101821
6 24 109350
10 33 88320
36 14 53618
31 35 164168
22 32 53976
35 37 298419
16 41 180540
34 30 185906
31 4 158627
5 6 175109
1 14 101972
31 5 235790
3 18 132276
9 3 262536
16 44 148188
40 22 120803
10 43 184617
37 12 154968
12 17 143663
16 4 122349
27 24 201525
22 17 113976
35 29 154623
36 23 100250
5 10 241313
7 27 300947
29 42 157512
10 22 118379
26 19 152841
37 20 267989
24 33 87234
39 15 129368
43 13 66288
4 12 25350
27 41 202703
29 27 226892
17 31 173710
19 21 144985
39 4 123142
21 17 83253
6 25 126713
2 8 130632
28 36 103788
2 26 194423
30 24 196459
14 26 172570
22 2 110212
15 34 64534
8 19 48082
38 9 208372
29 19 99972
4 40 219696
11 44 135564
28 20 94042
18 5 167906
35 19 109654
23 31 160898
23 5 90376
7 30 207648
26 10 222852
24 13 164140
27 275
10 7 48660
5 17 77767
22 7 79189
23 7 136311
16 13 92664
5 20 173693
11 9 129502
27 9 144750
18 10 90332
11 13 37578
25 17 50738
20 26 164936
15 24 224332
9 16 6959
9 22 145367
19 2 62054
9 14 87773
17 3 173945
7 12 24096
24 11 45340
1 19 46611
5 8 186634
26 6 240614
10 24 60004
19 7 59033
18 24 130399
10 13 22914
7 14 34296
21 16 47587
9 23 183573
13 3 179182
7 9 122069
1 16 144117
17 24 60892
6 10 219844
26 1 106136
6 18 261048
16 18 156782
27 13 112021
19 18 100705
18 21 194030
3 26 222866
15 13 184592
24 19 49631
21 7 152358
1 9 151076
11 16 122543
5 16 172805
17 15 194544
5 9 179764
9 21 54546
13 9 99623
18 12 65768
16 8 156663
21 14 118062
19 11 4291
20 27 184145
4 24 269566
24 14 82479
1 12 60802
8 1 144217
8 22 117762
27 15 229719
13 18 67418
16 7 115110
3 2 204649
4 26 188387
14 10 27065
10 5 78655
24 20 155042
19 6 230217
13 2 28767
20 8 202834
7 15 207038
23 3 263132
20 18 166354
1 25 86088
17 11 15552
1 15 229894
19 10 10373
5 22 109184
25 15 149957
14 20 122103
21 13 129912
2 18 92885
15 26 228276
19 17 11261
25 6 228265
20 10 95038
25 12 32985
12 27 113671
7 13 25746
21 2 155379
21 15 139515
25 2 60102
27 6 278658
22 13 53443
21 17 146015
6 4 392567
1 17 37126
3 4 374819
21 3 134105
17 16 108767
1 22 66767
17 22 31417
15 4 375736
8 15 248591
1 23 173017
24 5 138659
16 2 118131
25 10 49850
26 27 159005
2 14 37317
17 20 95926
1 13 59152
16 3 86518
18 26 111102
12 24 72279
19 16 118252
3 27 224309
7 1 84898
4 12 197287
26 22 100427
4 11 236515
15 16 91928
11 20 109702
12 19 34937
23 24 184494
22 25 80379
2 11 66345
11 12 39228
17 12 25452
1 5 114893
10 4 221851
21 1 181365
4 16 288301
7 17 49548
14 8 135044
19 22 20156
2 27 140788
11 21 159791
5 2 108908
2 6 222397
8 10 107979
21 12 128262
22 10 30529
3 1 136819
26 25 78319
10 26 69898
8 19 97606
23 26 157549
4 18 263055
4 13 198937
23 25 118585
8 17 108867
6 13 196930
11 3 187721
7 11 63324
14 15 172742
9 25 64988
17 10 888
14 5 91991
9 19 125211
4 17 222739
8 4 329830
12 20 119602
16 23 176614
21 24 200541
10 12 24564
2 12 27117
24 9 170252
25 19 60223
18 17 91220
19 4 232224
13 14 11850
21 22 175656
19 21 155500
4 14 207487
22 24 61205
19 15 183283
6 15 273228
2 24 99396
8 3 243181
2 20 146719
8 13 130893
8 7 156639
27 18 179439
24 1 96242
11 8 101897
23 12 112215
18 5 147559
26 19 80271
15 5 264733
11 23 151443
26 16 136348
26 17 70786
5 25 114776
26 14 55534
21 10 145127
6 21 151922
20 9 167568
25 14 22785
10 3 173057
8 26 177877
23 22 167308
3 14 167332
9 10 114838
5 6 228879
25 11 64514
12 15 182942
12 16 91014
23 14 122415
2 15 210059
7 18 89864
19 27 78734
20 6 131335
5 7 57695
19 20 105411
20 4 316889
9 26 143307
8 12 132543
18 23 177983
5 26 127125
7 6 171184
11 26 84562
15 9 84969
9 12 97973
6 24 267559
10 2 51681
24 13 73929
5 23 194006
11 5 93319
13 23 113865
11 27 83025
22 15 163127
17 9 115726
14 18 75968
11 22 15865
20 1 131276
14 11 41729
4 23 309502
15 3 164528
6 1 256082
19 23 147152
14 6 205480
10 11 14664
1 14 63303
27 23 93237
4 27 310958
27 8 18872
23 6 307495
6 17 220732
27 21 126736
1 11 50902
2 26 18217
12 13 1650
4 22 252382
24 26 117613
3 5 251712
27 1 125345
19 5 89028
9 2 125090
25 24 105264
22 14 57594
22 3 203586
25 8 157829
3 18 243300
18 25 98753
25 3 144547
25 20 144888
14 16 80814
7 3 201628
23 2 139332
25 27 138957
25 13 34635
16 75
8 7 28605
5 3 302714
14 5 163395
7 6 272819
16 2 198487
15 2 146019
15 12 214524
9 3 292312
8 6 244214
13 5 69539
12 10 338550
13 16 169279
1 13 233763
13 9 79941
12 2 251762
2 10 88487
3 10 267261
13 6 207213
9 8 271795
14 1 279841
1 8 236598
16 5 238818
9 2 109149
12 6 219971
1 10 319068
5 2 98747
2 3 214077
14 7 394174
5 11 224044
13 12 280970
13 7 177480
1 15 254418
11 4 139787
14 4 297466
14 6 440147
13 10 117695
11 12 386181
1 6 301610
10 11 312262
12 5 261796
7 4 288413
4 9 278847
8 16 301082
7 1 265203
16 3 354676
3 13 243285
9 1 241252
8 13 206085
8 12 279679
3 4 436785
4 16 82109
4 1 146593
1 11 6806
12 7 308284
10 16 254584
1 3 419160
3 11 412354
4 12 246394
6 3 385840
14 3 139319
16 15 286090
14 16 215357
5 15 47272
7 16 329687
14 10 350629
14 13 232934
9 16 249220
9 7 257421
2 7 148272
5 9 10402
9 11 234446
3 8 390954
3 12 465839
12 9 251394
12 16 328503
16 15
14 9 487599
15 10 428429
13 4 85278
10 14 58852
3 2 138247
7 10 300689
13 14 966716
5 11 849164
9 2 516115
14 12 777679
3 14 109731
14 16 875394
16 5 668229
11 10 700851
15 14 369577
9 6
5 9 735815
3 9 930773
9 6 916759
7 6 317452
9 8 867368
9 7 878072
17 22
16 14 593992
14 12 581251
